epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,214.794,0.66067,1.88328,0.97342,0.65133,0.9482,0.84932,0.76471,0.42618,1.65328,0.78325,0.000411458,0.000411458,0.000411458
2,464.366,0.53516,0.97651,0.87211,0.86359,0.81271,0.91946,0.81318,0.51731,1.05076,0.81304,0.000800797,0.000800797,0.000800797
3,699.484,0.59908,0.97504,0.90839,0.66477,0.80625,0.76497,0.65379,0.5765,2.01169,0.89989,0.00116264,0.00116264,0.00116264
4,928.194,0.57632,0.957,0.89856,0.56873,0.62518,0.59744,0.43843,0.90173,4.28117,1.10674,0.00112625,0.00112625,0.00112625
5,1147.55,0.61633,0.72739,0.91399,0.64712,0.63821,0.63648,0.53392,0.68579,1.61729,0.9564,0.001085,0.001085,0.001085
6,1371.26,0.55455,0.571,0.88393,0.91253,0.89588,0.93339,0.8207,0.5297,0.88986,0.84013,0.00104375,0.00104375,0.00104375
7,1598.52,0.51238,0.53742,0.87448,0.96711,0.98125,0.99042,0.9042,0.39947,0.5431,0.78721,0.0010025,0.0010025,0.0010025
8,1875.52,0.43228,0.44755,0.83191,0.99046,1,0.995,0.9194,0.38015,0.405,0.77391,0.00096125,0.00096125,0.00096125
9,2104.27,0.39061,0.39911,0.82893,0.98532,0.99069,0.99457,0.94015,0.35394,0.38358,0.76918,0.00092,0.00092,0.00092
10,2373.77,0.38295,0.37188,0.82695,0.96242,0.97423,0.99434,0.94355,0.34475,0.38044,0.76222,0.00087875,0.00087875,0.00087875
11,2602.92,0.36789,0.35055,0.82193,0.99667,0.99984,0.995,0.93408,0.34659,0.31572,0.75514,0.0008375,0.0008375,0.0008375
12,2789.51,0.35157,0.32712,0.81453,0.99677,1,0.995,0.95982,0.30248,0.29727,0.75017,0.00079625,0.00079625,0.00079625
13,2971.89,0.31549,0.31093,0.79948,0.99796,1,0.995,0.97795,0.26489,0.26448,0.73971,0.000755,0.000755,0.000755
14,3145.5,0.2981,0.2758,0.79326,0.98965,1,0.995,0.96672,0.26747,0.26124,0.73782,0.00071375,0.00071375,0.00071375
15,3318.2,0.28972,0.27571,0.80204,0.99607,1,0.995,0.9765,0.23805,0.23794,0.73359,0.0006725,0.0006725,0.0006725
16,3492.73,0.27346,0.25777,0.79875,0.99824,1,0.995,0.97337,0.23464,0.21931,0.72939,0.00063125,0.00063125,0.00063125
17,3715.62,0.26255,0.23834,0.79481,0.99691,1,0.995,0.98243,0.22102,0.21122,0.72863,0.00059,0.00059,0.00059
18,3914.35,0.25833,0.23389,0.79124,0.99707,1,0.995,0.9784,0.21773,0.19632,0.73182,0.00054875,0.00054875,0.00054875
19,4192.43,0.27292,0.22971,0.79481,0.99717,1,0.995,0.96766,0.25476,0.21441,0.73695,0.0005075,0.0005075,0.0005075
20,4416.67,0.25954,0.23173,0.79953,0.99694,1,0.995,0.97964,0.23768,0.20912,0.73051,0.00046625,0.00046625,0.00046625
21,4614.07,0.25549,0.22593,0.78422,0.99733,1,0.995,0.98216,0.21435,0.19658,0.72907,0.000425,0.000425,0.000425
22,4813.9,0.23992,0.21253,0.78707,0.998,1,0.995,0.97742,0.21128,0.19044,0.72723,0.00038375,0.00038375,0.00038375
23,5009.26,0.21625,0.19696,0.78689,0.99776,1,0.995,0.97811,0.19656,0.17701,0.7261,0.0003425,0.0003425,0.0003425
24,5292.18,0.21336,0.1934,0.77603,0.99758,1,0.995,0.98058,0.19576,0.17531,0.72603,0.00030125,0.00030125,0.00030125
25,5489.93,0.19647,0.18299,0.77723,0.99749,1,0.995,0.98407,0.1769,0.16455,0.72248,0.00026,0.00026,0.00026
26,5697.45,0.19097,0.1783,0.77181,0.99802,1,0.995,0.98655,0.17619,0.1614,0.72219,0.00021875,0.00021875,0.00021875
27,5925.38,0.18253,0.17296,0.77015,0.99807,1,0.995,0.98105,0.17353,0.15643,0.72129,0.0001775,0.0001775,0.0001775
28,6149.95,0.17719,0.16832,0.77311,0.99787,1,0.995,0.98314,0.17467,0.15221,0.72226,0.00013625,0.00013625,0.00013625
29,6382.97,0.17082,0.16463,0.77076,0.99789,1,0.995,0.98574,0.15819,0.14466,0.71886,9.5e-05,9.5e-05,9.5e-05
30,6631.86,0.15761,0.15662,0.77383,0.99785,1,0.995,0.98467,0.15687,0.14198,0.7196,5.375e-05,5.375e-05,5.375e-05
