epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,205.193,0.5799,1.12978,1.83577,0.847,0,0.63044,0.62197,0.55585,0.45265,0.61015,0.59898,0.52735,0.36693,0.56008,0.81647,2.20007,0.83493,0,0.000411458,0.000411458,0.000411458
2,412.419,0.58771,0.84241,1.08234,0.83538,0,0.53062,0.54464,0.56408,0.45219,0.70015,0.43449,0.53324,0.41185,0.64067,0.84616,1.79445,0.85443,0,0.000800797,0.000800797,0.000800797
3,608.739,0.61807,0.87301,1.01709,0.84075,0,0.7927,0.60531,0.68905,0.55405,0.77322,0.57646,0.64275,0.48937,0.62974,0.8036,1.34482,0.84726,0,0.00116264,0.00116264,0.00116264
4,817.266,0.69261,0.77719,0.87865,0.86427,0,0.93614,0.63967,0.79959,0.6646,0.94057,0.63823,0.76272,0.61936,0.62594,0.775,0.83176,0.85839,0,0.00112625,0.00112625,0.00112625
5,1021.18,0.63271,0.71898,0.72395,0.84176,0,0.87896,0.72286,0.83897,0.68016,0.89338,0.69791,0.80843,0.62975,0.62149,0.70439,0.74707,0.867,0,0.001085,0.001085,0.001085
6,1220.67,0.57525,0.7162,0.60841,0.82651,0,0.89116,0.83957,0.88775,0.71208,0.90862,0.74035,0.83156,0.65805,0.5733,0.69368,0.55843,0.84298,0,0.00104375,0.00104375,0.00104375
7,1414.72,0.55305,0.69696,0.56436,0.8299,0,0.89491,0.61544,0.82927,0.68674,0.90066,0.61968,0.8091,0.61565,0.52608,0.72596,0.83433,0.82259,0,0.0010025,0.0010025,0.0010025
8,1610.72,0.52189,0.6729,0.53946,0.81371,0,0.94906,0.77558,0.89312,0.75483,0.91569,0.75674,0.85858,0.6636,0.48962,0.67773,0.48722,0.8218,0,0.00096125,0.00096125,0.00096125
9,1802.07,0.49027,0.63487,0.48976,0.80814,0,0.89254,0.82039,0.90211,0.75906,0.87635,0.80996,0.87034,0.67287,0.48384,0.6288,0.46571,0.82016,0,0.00092,0.00092,0.00092
10,1991.82,0.47425,0.64089,0.44743,0.7997,0,0.92902,0.76121,0.89569,0.74309,0.92968,0.70563,0.8349,0.66443,0.48797,0.62889,0.47907,0.82585,0,0.00087875,0.00087875,0.00087875
11,2181.7,0.45827,0.5959,0.41716,0.79558,0,0.94964,0.80188,0.92004,0.77591,0.9247,0.78446,0.86555,0.68484,0.46762,0.59732,0.41546,0.82931,0,0.0008375,0.0008375,0.0008375
12,2378.75,0.4295,0.56742,0.39557,0.79325,0,0.94398,0.82118,0.91863,0.78751,0.93134,0.79705,0.8701,0.70179,0.42737,0.60708,0.3832,0.81882,0,0.00079625,0.00079625,0.00079625
13,2576.54,0.41484,0.61307,0.38275,0.79308,0,0.93661,0.82368,0.92067,0.80125,0.91346,0.79222,0.87501,0.70894,0.39862,0.62538,0.36615,0.80046,0,0.000755,0.000755,0.000755
14,2764.69,0.39395,0.59157,0.35563,0.78206,0,0.91041,0.86428,0.92271,0.79364,0.89958,0.83132,0.8868,0.71442,0.40046,0.63751,0.37328,0.79335,0,0.00071375,0.00071375,0.00071375
15,2950.08,0.39822,0.59004,0.35051,0.7852,0,0.93943,0.81059,0.91645,0.78263,0.91924,0.78547,0.88535,0.71905,0.41228,0.60885,0.37637,0.81174,0,0.0006725,0.0006725,0.0006725
16,3139.7,0.37421,0.56139,0.32112,0.7844,0,0.89578,0.88135,0.92405,0.78843,0.88411,0.8644,0.90163,0.73674,0.41062,0.57639,0.34531,0.81681,0,0.00063125,0.00063125,0.00063125
17,3331.66,0.3723,0.56095,0.31474,0.77758,0,0.90935,0.85115,0.92706,0.7923,0.89145,0.82929,0.90627,0.737,0.41082,0.58376,0.334,0.81071,0,0.00059,0.00059,0.00059
18,3523.94,0.35471,0.53825,0.30094,0.79518,0,0.95361,0.84761,0.93061,0.79871,0.94178,0.8315,0.90349,0.74383,0.36699,0.57639,0.30889,0.80269,0,0.00054875,0.00054875,0.00054875
19,3714.46,0.35388,0.5463,0.29316,0.7755,0,0.92606,0.86563,0.93621,0.79877,0.91001,0.85459,0.91177,0.74063,0.39776,0.56628,0.31037,0.8132,0,0.0005075,0.0005075,0.0005075
20,3905.75,0.33501,0.52896,0.28255,0.77061,0,0.92825,0.87908,0.93836,0.81423,0.91081,0.86097,0.91791,0.75674,0.37016,0.54764,0.30118,0.80015,0,0.00046625,0.00046625,0.00046625
