epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,214.805,0.5799,1.12978,1.83577,0.847,0,0.63044,0.62197,0.55585,0.45265,0.61015,0.59898,0.52735,0.36693,0.56008,0.81647,2.20007,0.83493,0,0.000411458,0.000411458,0.000411458
2,428.393,0.59085,0.8468,1.08912,0.83599,0,0.57733,0.53873,0.57564,0.45717,0.71753,0.43042,0.5443,0.41862,0.64636,0.8763,1.78285,0.85695,0,0.000819927,0.000819927,0.000819927
3,634.083,0.62543,0.8845,1.0486,0.84368,0,0.69631,0.63077,0.65529,0.52402,0.73265,0.54752,0.60706,0.45379,0.6542,0.84926,1.38283,0.85685,0,0.00122014,0.00122014,0.00122014
4,836.085,0.75393,0.82496,0.91973,0.88399,0,0.80287,0.73213,0.8182,0.6354,0.801,0.7185,0.78593,0.61155,0.725,0.83098,0.84308,0.91462,0,0.00121287,0.00121287,0.00121287
5,1033.62,0.72764,0.73682,0.81703,0.86881,0,0.7276,0.62984,0.71222,0.52054,0.71157,0.59826,0.69018,0.51839,0.8022,0.71609,1.08158,0.91061,0,0.0012005,0.0012005,0.0012005
6,1227.87,0.61245,0.71892,0.70771,0.83986,0,0.81371,0.75245,0.83428,0.68982,0.77477,0.71147,0.77883,0.60378,0.57637,0.70605,0.80152,0.85358,0,0.00118812,0.00118812,0.00118812
7,1423.38,0.60248,0.72452,0.60328,0.8419,0,0.79528,0.74745,0.7986,0.63876,0.76146,0.69748,0.7679,0.57489,0.58266,0.79144,0.7857,0.86471,0,0.00117575,0.00117575,0.00117575
8,1613.11,0.54758,0.68789,0.52633,0.8179,0,0.9489,0.8006,0.87692,0.70727,0.92496,0.77562,0.85271,0.64894,0.56069,0.67252,0.50962,0.8435,0,0.00116337,0.00116337,0.00116337
9,1801.39,0.54243,0.6771,0.49995,0.82151,0,0.91213,0.82546,0.89839,0.72787,0.88272,0.80584,0.85166,0.66485,0.55219,0.66481,0.50474,0.84422,0,0.001151,0.001151,0.001151
10,1983.25,0.51805,0.6763,0.46154,0.80966,0,0.87404,0.77244,0.86221,0.70462,0.84336,0.72823,0.80668,0.62626,0.54198,0.68699,0.66256,0.83797,0,0.00113863,0.00113863,0.00113863
11,2177.09,0.50432,0.64101,0.43199,0.80703,0,0.85819,0.80861,0.88325,0.72145,0.82023,0.75689,0.81288,0.62753,0.52175,0.68483,0.55769,0.83801,0,0.00112625,0.00112625,0.00112625
12,2365.98,0.47039,0.59893,0.41241,0.80064,0,0.93651,0.82546,0.90593,0.76751,0.94093,0.75322,0.8506,0.67841,0.45836,0.64731,0.40926,0.82291,0,0.00111388,0.00111388,0.00111388
13,2559.42,0.4612,0.63171,0.38825,0.80036,0,0.91684,0.82992,0.90673,0.74404,0.89301,0.80157,0.87426,0.67815,0.49053,0.65752,0.42476,0.84124,0,0.0011015,0.0011015,0.0011015
14,2757.72,0.44829,0.60958,0.37041,0.79157,0,0.92089,0.84277,0.90903,0.7591,0.894,0.81361,0.88155,0.69789,0.46578,0.66398,0.4136,0.82768,0,0.00108913,0.00108913,0.00108913
