epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,297.535,0.64578,1.2089,1.81553,0.93442,0,0.54439,0.91598,0.74224,0.57809,0.53679,0.92081,0.73235,0.61959,0.70492,1.00388,1.56781,0.8987,0,0.000411458,0.000411458,0.000411458
2,564.233,0.68568,0.93113,1.02361,0.9267,0,0.78866,0.8194,0.80044,0.60018,0.77664,0.80664,0.78601,0.68003,0.83587,0.88332,1.92572,0.93575,0,0.000800797,0.000800797,0.000800797
3,842.249,0.75498,0.97469,0.83506,0.92183,0,0.72788,0.90005,0.86015,0.66958,0.6739,0.81955,0.76875,0.5372,0.77258,2.09231,0.9921,0.91947,0,0.00116264,0.00116264,0.00116264
4,1114.28,0.74278,1.1024,0.78862,0.92912,0,0.80152,0.92815,0.93691,0.72524,0.8017,0.92732,0.92998,0.80542,0.76265,0.87404,1.00002,0.91833,0,0.00112625,0.00112625,0.00112625
5,1377.25,0.73902,1.1038,0.6935,0.93294,0,0.85086,0.90845,0.95183,0.75049,0.83872,0.89595,0.93633,0.77799,0.761,1.30441,0.88898,0.93281,0,0.001085,0.001085,0.001085
6,1693.77,0.69419,1.12066,0.58445,0.91366,0,0.8838,0.95046,0.96199,0.76151,0.884,0.95024,0.95583,0.79195,0.71637,1.01464,0.77498,0.88205,0,0.00104375,0.00104375,0.00104375
7,1956.85,0.70078,0.99996,0.55616,0.91298,0,0.9303,0.95895,0.97104,0.79866,0.91798,0.9465,0.95612,0.82841,0.64216,0.88174,0.61408,0.86736,0,0.0010025,0.0010025,0.0010025
8,2223.57,0.6062,0.86873,0.47432,0.89412,0,0.89503,0.9481,0.96939,0.81518,0.89397,0.94292,0.96662,0.84489,0.59228,0.8387,0.57153,0.84635,0,0.00096125,0.00096125,0.00096125
9,2478.99,0.56624,0.80487,0.43863,0.87046,0,0.95687,0.96314,0.97894,0.84062,0.95687,0.96314,0.97894,0.85831,0.55405,0.8302,0.4492,0.8348,0,0.00092,0.00092,0.00092
10,2722.64,0.55372,0.79047,0.40813,0.86475,0,0.97975,0.99375,0.99476,0.84312,0.97339,0.9875,0.98439,0.87875,0.5448,0.75481,0.42835,0.82978,0,0.00087875,0.00087875,0.00087875
11,2962.82,0.53902,0.74615,0.38547,0.86739,0,0.9822,0.98887,0.99381,0.87415,0.9822,0.98887,0.99381,0.8763,0.50868,0.78048,0.42132,0.82142,0,0.0008375,0.0008375,0.0008375
12,3196.46,0.48188,0.70832,0.34879,0.84615,0,0.98891,0.99086,0.98617,0.87599,0.98891,0.99086,0.98617,0.87418,0.48379,0.78722,0.33976,0.81597,0,0.00079625,0.00079625,0.00079625
13,3415.28,0.47584,0.68368,0.34069,0.84171,0,0.98181,0.99375,0.98599,0.8646,0.98181,0.99375,0.98599,0.87546,0.48944,0.74727,0.33046,0.82447,0,0.000755,0.000755,0.000755
14,3633.44,0.50256,0.66053,0.34768,0.84467,0,0.97853,1,0.99061,0.85544,0.98796,0.99905,0.995,0.87031,0.51788,0.74383,0.3542,0.83324,0,0.00071375,0.00071375,0.00071375
15,3853.32,0.49372,0.65068,0.34702,0.84894,0,0.97375,1,0.98851,0.86525,0.98206,0.99733,0.99488,0.8811,0.50501,0.71075,0.32564,0.82264,0,0.0006725,0.0006725,0.0006725
16,4074.96,0.44741,0.62689,0.32087,0.8299,0,0.98992,0.99375,0.99476,0.89502,0.98992,0.99375,0.99476,0.87829,0.45036,0.74433,0.3116,0.80475,0,0.00063125,0.00063125,0.00063125
17,4294.38,0.43917,0.61581,0.31078,0.83064,0,0.98976,0.99518,0.99488,0.90234,0.98976,0.99518,0.99488,0.87701,0.43482,0.72032,0.29182,0.80132,0,0.00059,0.00059,0.00059
18,4542.13,0.40207,0.60155,0.29135,0.8132,0,0.98773,0.98947,0.99488,0.88936,0.98117,0.98344,0.9875,0.87792,0.44265,0.72029,0.28498,0.8052,0,0.00054875,0.00054875,0.00054875
19,4844.93,0.40442,0.56417,0.28593,0.81452,0,0.97498,0.99232,0.98186,0.89518,0.98926,0.9875,0.98718,0.8795,0.44154,0.71701,0.28337,0.81798,0,0.0005075,0.0005075,0.0005075
20,5123.21,0.38358,0.57099,0.2788,0.81382,0,0.98908,0.9875,0.99464,0.88678,0.98908,0.9875,0.99464,0.8671,0.43156,0.75579,0.27643,0.80424,0,0.00046625,0.00046625,0.00046625
21,5383.81,0.38097,0.54349,0.27303,0.81271,0,0.98837,0.9983,0.99488,0.89242,0.98837,0.9983,0.99488,0.87758,0.41881,0.73761,0.27389,0.80705,0,0.000425,0.000425,0.000425
22,5645,0.36257,0.5267,0.2599,0.82495,0,0.98715,0.99778,0.99488,0.89514,0.98103,0.99155,0.98736,0.87747,0.40954,0.73046,0.27287,0.80201,0,0.00038375,0.00038375,0.00038375
23,5910.38,0.33654,0.50611,0.25572,0.80739,0,0.98942,0.9978,0.98921,0.89705,0.98942,0.9978,0.99488,0.88023,0.38778,0.73714,0.26008,0.79543,0,0.0003425,0.0003425,0.0003425
24,6227.46,0.32419,0.4888,0.2403,0.79987,0,0.9882,0.99829,0.99488,0.90349,0.9882,0.99829,0.99488,0.87571,0.38098,0.75787,0.25445,0.79349,0,0.00030125,0.00030125,0.00030125
25,6496.55,0.32192,0.4814,0.23643,0.80501,0,0.99621,0.99643,0.995,0.90272,0.99621,0.99643,0.995,0.88143,0.37418,0.73711,0.24431,0.79255,0,0.00026,0.00026,0.00026
26,6749.99,0.29956,0.45042,0.22945,0.79398,0,0.98916,0.99431,0.99488,0.90417,0.98297,0.98806,0.98937,0.87586,0.38112,0.83049,0.24105,0.79849,0,0.00021875,0.00021875,0.00021875
27,7020.16,0.28491,0.4321,0.21974,0.79142,0,0.98819,0.99885,0.99488,0.90209,0.98205,0.99262,0.98863,0.87477,0.37397,0.85859,0.24041,0.80062,0,0.0001775,0.0001775,0.0001775
28,7251.65,0.27144,0.42223,0.2158,0.78408,0,0.99521,0.99621,0.995,0.91007,0.98894,0.98999,0.98873,0.88167,0.34969,0.77749,0.22629,0.79634,0,0.00013625,0.00013625,0.00013625
29,7519.8,0.2706,0.41073,0.21156,0.78608,0,0.99632,0.99088,0.99488,0.91103,0.99002,0.98472,0.98851,0.8845,0.34348,0.78411,0.22141,0.79532,0,9.5e-05,9.5e-05,9.5e-05
30,7778.39,0.25394,0.39631,0.2035,0.77466,0,0.9969,0.9892,0.995,0.9068,0.98972,0.97966,0.98849,0.87948,0.3465,0.79341,0.21918,0.79735,0,5.375e-05,5.375e-05,5.375e-05
