epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,251.614,0.64888,1.48598,1.91795,1.03599,0,0.52573,0.97614,0.8125,0.67001,0.46039,0.86875,0.70198,0.50737,0.57584,1.91272,1.68315,0.93601,0,0.000411458,0.000411458,0.000411458
2,394.976,0.62801,1.12322,1.0951,0.94573,0,0.86304,0.90729,0.91682,0.74483,0.84302,0.88867,0.88819,0.66515,0.63065,1.35555,1.06372,0.93649,0,0.000819927,0.000819927,0.000819927
3,607.765,0.64593,1.22078,0.90168,0.92833,0,0.71476,0.8127,0.85373,0.69697,0.51234,0.57025,0.54101,0.26112,0.61749,8.66567,1.33553,0.90836,0,0.00122014,0.00122014,0.00122014
4,818.033,0.73615,1.28349,0.76928,0.98034,0,0.81706,0.92982,0.93951,0.6903,0.81132,0.92325,0.93383,0.71099,0.90379,1.16494,0.98756,1.12698,0,0.00121287,0.00121287,0.00121287
5,1030.78,0.75721,1.04569,0.80898,0.97337,0,0.72496,0.77639,0.81065,0.6272,0.71156,0.79743,0.80648,0.64372,0.77465,1.1869,1.54784,0.95653,0,0.0012005,0.0012005,0.0012005
6,1236.61,0.72007,1.09699,0.71794,0.94844,0,0.68503,0.79375,0.81099,0.63171,0.65222,0.7625,0.77681,0.58433,0.69991,1.33325,1.40075,0.92564,0,0.00118812,0.00118812,0.00118812
7,1438.58,0.65591,1.02672,0.59538,0.90772,0,0.96592,0.975,0.99154,0.83124,0.95945,0.96875,0.98418,0.85386,0.64097,0.93686,0.57666,0.90454,0,0.00117575,0.00117575,0.00117575
8,1647.04,0.59536,0.88971,0.48841,0.9009,0,0.94635,0.95702,0.9926,0.8617,0.94635,0.95702,0.98747,0.87483,0.55876,0.84367,0.55072,0.85993,0,0.00116337,0.00116337,0.00116337
9,1848.91,0.54407,0.8285,0.44282,0.87298,0,0.87556,0.9757,0.99346,0.89762,0.87941,0.9693,0.98814,0.88061,0.46124,0.81805,0.5722,0.83434,0,0.001151,0.001151,0.001151
10,2050.88,0.49839,0.74817,0.41362,0.86368,0,0.99445,0.99532,0.995,0.87563,0.98824,0.98907,0.98856,0.87648,0.51121,0.77182,0.40833,0.84991,0,0.00113863,0.00113863,0.00113863
11,2247.58,0.50864,0.70814,0.38751,0.85957,0,0.99093,0.99779,0.995,0.89737,0.98474,0.99154,0.98762,0.8996,0.47176,0.66346,0.37176,0.82822,0,0.00112625,0.00112625,0.00112625
12,2441.65,0.4606,0.64907,0.3702,0.8339,0,0.99313,0.99812,0.995,0.89667,0.99313,0.99812,0.995,0.91425,0.44093,0.63492,0.36488,0.82123,0,0.00111388,0.00111388,0.00111388
13,2629.76,0.44507,0.63987,0.35341,0.83318,0,0.98299,0.9987,0.99457,0.93045,0.98299,0.9987,0.99457,0.91313,0.39663,0.62324,0.33683,0.81154,0,0.0011015,0.0011015,0.0011015
14,2816.19,0.40554,0.59624,0.32495,0.83191,0,0.99589,0.99751,0.995,0.94067,0.99589,0.99751,0.995,0.92158,0.36231,0.55455,0.28755,0.80278,0,0.00108913,0.00108913,0.00108913
15,3007.18,0.37885,0.53809,0.29713,0.82114,0,0.99489,1,0.995,0.92749,0.99489,1,0.995,0.93244,0.38449,0.53622,0.29065,0.80643,0,0.00107675,0.00107675,0.00107675
16,3197.37,0.36938,0.50548,0.29948,0.80638,0,0.98808,0.99312,0.99488,0.93231,0.98808,0.99312,0.99488,0.92385,0.35946,0.56046,0.311,0.80337,0,0.00106437,0.00106437,0.00106437
17,3383.96,0.37442,0.57332,0.29965,0.81483,0,0.99701,0.9966,0.995,0.93011,0.99701,0.9966,0.995,0.93243,0.35845,0.52095,0.28748,0.8039,0,0.001052,0.001052,0.001052
18,3562.59,0.36245,0.52642,0.27774,0.8047,0,0.99202,0.99594,0.995,0.92522,0.99202,0.99594,0.995,0.91778,0.37346,0.5488,0.29034,0.80655,0,0.00103962,0.00103962,0.00103962
19,3760.37,0.39225,0.51569,0.28332,0.82043,0,0.99444,0.99502,0.995,0.93332,0.99444,0.99502,0.995,0.91552,0.38089,0.56169,0.27293,0.81404,0,0.00102725,0.00102725,0.00102725
20,3946.09,0.38722,0.53297,0.28406,0.82134,0,0.99214,0.99234,0.99488,0.92728,0.99214,0.99234,0.99488,0.90928,0.3786,0.61952,0.28171,0.81239,0,0.00101488,0.00101488,0.00101488
21,4135.81,0.3619,0.49422,0.27302,0.80599,0,0.98818,0.98441,0.995,0.93978,0.98818,0.98441,0.995,0.93202,0.348,0.47438,0.27038,0.80007,0,0.0010025,0.0010025,0.0010025
22,4319.37,0.3541,0.47908,0.27126,0.81495,0,0.99684,0.99098,0.99488,0.93899,0.99684,0.99098,0.99488,0.92374,0.32904,0.52035,0.26302,0.79688,0,0.000990125,0.000990125,0.000990125
23,4504.99,0.34104,0.45169,0.26176,0.80456,0,0.98945,0.99912,0.99488,0.94378,0.98945,0.99912,0.99488,0.94008,0.32986,0.47852,0.25317,0.79525,0,0.00097775,0.00097775,0.00097775
24,4693.76,0.33767,0.42919,0.2538,0.79753,0,0.99651,0.99624,0.995,0.95223,0.99651,0.99624,0.995,0.93997,0.3265,0.43132,0.24675,0.79849,0,0.000965375,0.000965375,0.000965375
25,4930.3,0.32692,0.38715,0.25047,0.81119,0,0.98459,0.99916,0.99488,0.95635,0.98459,0.99916,0.99488,0.94253,0.30415,0.4268,0.23092,0.79342,0,0.000953,0.000953,0.000953
26,5131.92,0.32685,0.36472,0.25519,0.79191,0,0.99273,0.9857,0.99375,0.9394,0.99273,0.9857,0.99375,0.94163,0.3369,0.44829,0.26824,0.79714,0,0.000940625,0.000940625,0.000940625
27,5332.81,0.30905,0.36433,0.24765,0.80072,0,0.97721,0.99122,0.99464,0.95972,0.97721,0.99122,0.99464,0.94556,0.32252,0.42217,0.24634,0.80175,0,0.00092825,0.00092825,0.00092825
28,5534.43,0.30065,0.34426,0.2369,0.79075,0,0.99742,0.99942,0.995,0.94959,0.99742,0.99942,0.995,0.94444,0.31891,0.42504,0.24383,0.80301,0,0.000915875,0.000915875,0.000915875
29,5726.31,0.29554,0.33508,0.23347,0.78453,0,0.99506,0.99828,0.995,0.95464,0.99506,0.99828,0.995,0.95079,0.30418,0.4107,0.23423,0.79179,0,0.0009035,0.0009035,0.0009035
30,5918.84,0.287,0.32224,0.22726,0.79406,0,0.98812,0.99401,0.99488,0.95651,0.98812,0.99401,0.99488,0.94133,0.28683,0.42387,0.2415,0.79072,0,0.000891125,0.000891125,0.000891125
31,6103.4,0.28305,0.32256,0.22765,0.78421,0,0.99736,1,0.995,0.94882,0.99736,1,0.995,0.94695,0.2988,0.40073,0.23032,0.78925,0,0.00087875,0.00087875,0.00087875
32,6294.84,0.28332,0.32047,0.22478,0.78686,0,0.98548,0.99443,0.995,0.94602,0.98548,0.99443,0.995,0.92988,0.31578,0.51052,0.25227,0.80158,0,0.000866375,0.000866375,0.000866375
33,6476.69,0.28993,0.34204,0.22294,0.77684,0,0.99801,1,0.995,0.94739,0.99252,0.99401,0.99488,0.93241,0.30085,0.48451,0.23475,0.79962,0,0.000854,0.000854,0.000854
34,6657.76,0.27939,0.33299,0.21575,0.78599,0,0.99702,0.99932,0.995,0.95023,0.99073,0.9931,0.99101,0.93549,0.31295,0.52734,0.22663,0.80644,0,0.000841625,0.000841625,0.000841625
35,6842.9,0.27761,0.36363,0.21123,0.799,0,0.99751,1,0.995,0.95798,0.99128,0.99375,0.99283,0.94051,0.28903,0.4965,0.20782,0.79804,0,0.00082925,0.00082925,0.00082925
36,7032.71,0.2917,0.37897,0.22728,0.78889,0,0.98934,0.99135,0.99465,0.95681,0.98934,0.99135,0.99465,0.94236,0.28768,0.42429,0.23257,0.79643,0,0.000816875,0.000816875,0.000816875
37,7216.84,0.27247,0.3326,0.21264,0.78006,0,0.98334,0.9887,0.99439,0.95407,0.98334,0.9887,0.99439,0.94764,0.29265,0.40532,0.23786,0.78869,0,0.0008045,0.0008045,0.0008045
38,7403.5,0.27279,0.30122,0.2189,0.77973,0,0.97795,0.98875,0.99457,0.95778,0.97795,0.98875,0.99457,0.95007,0.27389,0.36618,0.22237,0.78419,0,0.000792125,0.000792125,0.000792125
39,7589.6,0.26797,0.31151,0.2148,0.78627,0,0.98654,0.98477,0.99366,0.96244,0.98654,0.98477,0.99366,0.94911,0.27173,0.42922,0.23012,0.78535,0,0.00077975,0.00077975,0.00077975
40,7775.05,0.24423,0.29039,0.19776,0.78208,0,0.99198,0.98645,0.99488,0.96061,0.99198,0.98645,0.99488,0.95278,0.27271,0.39472,0.20781,0.78276,0,0.000767375,0.000767375,0.000767375
41,7963.09,0.25007,0.2907,0.19867,0.7874,0,0.98428,0.98124,0.99385,0.96096,0.98428,0.98124,0.99385,0.95556,0.26644,0.38089,0.23402,0.78089,0,0.000755,0.000755,0.000755
42,8148.01,0.24414,0.27838,0.20002,0.77397,0,0.99299,0.9954,0.995,0.96582,0.99299,0.9954,0.995,0.95326,0.25822,0.37827,0.20474,0.78141,0,0.000742625,0.000742625,0.000742625
43,8327.41,0.24479,0.28541,0.1992,0.7712,0,0.99757,0.99893,0.995,0.96428,0.99757,0.99893,0.995,0.9486,0.27553,0.39951,0.19558,0.78458,0,0.00073025,0.00073025,0.00073025
44,8515.45,0.24252,0.2919,0.19587,0.77734,0,0.99787,0.99927,0.995,0.96288,0.99787,0.99927,0.995,0.95049,0.26524,0.37375,0.20831,0.78484,0,0.000717875,0.000717875,0.000717875
45,8696.98,0.24011,0.26887,0.19402,0.77062,0,0.99836,0.99902,0.995,0.96252,0.98997,1,0.99488,0.94836,0.27465,0.40941,0.20808,0.78712,0,0.0007055,0.0007055,0.0007055
46,8888.15,0.25225,0.26051,0.19613,0.79348,0,0.99216,0.99802,0.995,0.96598,0.99216,0.99802,0.995,0.9523,0.27101,0.37114,0.20099,0.78262,0,0.000693125,0.000693125,0.000693125
47,9073.74,0.25195,0.2462,0.1947,0.77881,0,0.99376,1,0.995,0.95936,0.99376,1,0.995,0.95204,0.28567,0.38701,0.20184,0.78532,0,0.00068075,0.00068075,0.00068075
48,9260.83,0.23928,0.24507,0.18806,0.78248,0,0.99112,1,0.995,0.96098,0.99112,1,0.995,0.95269,0.26555,0.40301,0.19521,0.78329,0,0.000668375,0.000668375,0.000668375
49,9444.78,0.2208,0.23764,0.17918,0.76864,0,0.99709,1,0.995,0.96331,0.99709,1,0.995,0.94756,0.24774,0.41443,0.18455,0.77975,0,0.000656,0.000656,0.000656
50,9627.64,0.22037,0.22907,0.181,0.77458,0,0.99785,1,0.995,0.96794,0.99785,1,0.995,0.95744,0.25009,0.38431,0.17607,0.7792,0,0.000643625,0.000643625,0.000643625
51,9812.94,0.211,0.23595,0.17436,0.76917,0,0.9971,1,0.995,0.9626,0.9971,1,0.995,0.94966,0.25415,0.39345,0.18463,0.77947,0,0.00063125,0.00063125,0.00063125
52,9999.15,0.21167,0.23924,0.18151,0.77547,0,0.98835,0.99401,0.995,0.95789,0.98835,0.99401,0.99488,0.9423,0.2707,0.50536,0.21174,0.79561,0,0.000618875,0.000618875,0.000618875
53,10186.7,0.22087,0.23927,0.17969,0.76709,0,0.99105,1,0.995,0.95285,0.99105,1,0.99488,0.93451,0.26996,0.5529,0.20152,0.79947,0,0.0006065,0.0006065,0.0006065
54,10389.7,0.21069,0.24085,0.17009,0.7644,0,0.99653,1,0.995,0.95925,0.99653,1,0.995,0.94434,0.25769,0.49492,0.19266,0.7943,0,0.000594125,0.000594125,0.000594125
55,10596.4,0.20427,0.23956,0.17082,0.77142,0,0.99866,1,0.995,0.96214,0.99866,1,0.995,0.95373,0.25364,0.415,0.1802,0.78686,0,0.00058175,0.00058175,0.00058175
56,10779.9,0.20308,0.21878,0.16661,0.77874,0,0.98564,0.99375,0.99476,0.95978,0.98564,0.99375,0.99476,0.95156,0.24544,0.4064,0.20784,0.78661,0,0.000569375,0.000569375,0.000569375
57,10974.2,0.20568,0.22589,0.17636,0.76849,0,0.99146,0.98657,0.99442,0.95375,0.99146,0.98657,0.99442,0.94281,0.26062,0.45763,0.2094,0.79245,0,0.000557,0.000557,0.000557
58,11156.4,0.20145,0.21819,0.17228,0.77533,0,0.99799,1,0.995,0.96083,0.99799,1,0.995,0.95663,0.24243,0.41077,0.17721,0.78197,0,0.000544625,0.000544625,0.000544625
59,11343.7,0.2036,0.21078,0.16407,0.77238,0,0.99735,0.99766,0.995,0.96858,0.99735,0.99766,0.995,0.96048,0.22654,0.35421,0.16736,0.77535,0,0.00053225,0.00053225,0.00053225
60,11532.4,0.19886,0.22298,0.16369,0.77018,0,0.99675,1,0.995,0.96161,0.99675,1,0.995,0.95161,0.22473,0.38929,0.16741,0.7778,0,0.000519875,0.000519875,0.000519875
61,11716.8,0.19327,0.23087,0.15875,0.76611,0,0.99684,0.99884,0.995,0.96489,0.99684,0.99884,0.995,0.95192,0.23256,0.3831,0.16635,0.77775,0,0.0005075,0.0005075,0.0005075
62,11897.4,0.19021,0.20588,0.15729,0.76746,0,0.99797,0.99893,0.995,0.96393,0.99797,0.99893,0.995,0.95644,0.22423,0.35834,0.16064,0.7763,0,0.000495125,0.000495125,0.000495125
63,12074.6,0.19041,0.1993,0.14846,0.77488,0,0.99794,1,0.995,0.9661,0.99794,1,0.995,0.95595,0.21918,0.35705,0.16152,0.77783,0,0.00048275,0.00048275,0.00048275
64,12257.2,0.1846,0.19542,0.14964,0.77011,0,0.997,1,0.995,0.96633,0.997,1,0.995,0.95892,0.22566,0.38678,0.15988,0.77855,0,0.000470375,0.000470375,0.000470375
65,12441.3,0.18539,0.19398,0.14582,0.77387,0,0.99266,1,0.995,0.96801,0.99266,1,0.995,0.95818,0.22838,0.41358,0.16362,0.78074,0,0.000458,0.000458,0.000458
66,12637.9,0.17561,0.18517,0.14427,0.76279,0,0.99781,1,0.995,0.96646,0.99781,1,0.995,0.95691,0.22832,0.4085,0.16383,0.77959,0,0.000445625,0.000445625,0.000445625
67,12819.7,0.17136,0.18042,0.14185,0.75595,0,0.99706,1,0.995,0.96457,0.99706,1,0.995,0.95553,0.22095,0.41187,0.15685,0.77702,0,0.00043325,0.00043325,0.00043325
68,13010.6,0.16651,0.18668,0.13853,0.76438,0,0.99622,1,0.995,0.96371,0.99622,1,0.995,0.96001,0.22271,0.39206,0.1511,0.7767,0,0.000420875,0.000420875,0.000420875
69,13196.6,0.16984,0.17884,0.13849,0.75407,0,0.99694,0.99889,0.995,0.96791,0.99694,0.99889,0.995,0.95508,0.21911,0.39593,0.15262,0.77778,0,0.0004085,0.0004085,0.0004085
70,13385.8,0.1637,0.18325,0.13277,0.77019,0,0.99645,0.99887,0.995,0.96592,0.99645,0.99887,0.995,0.96226,0.21384,0.38241,0.15411,0.77579,0,0.000396125,0.000396125,0.000396125
71,13577.6,0.1603,0.17712,0.13371,0.76036,0,0.99672,0.9989,0.995,0.96506,0.99672,0.9989,0.995,0.95564,0.2154,0.40341,0.14587,0.77787,0,0.00038375,0.00038375,0.00038375
72,13758.4,0.15746,0.17578,0.13481,0.76059,0,0.99245,1,0.995,0.96805,0.99245,1,0.995,0.95734,0.20962,0.39381,0.15139,0.7763,0,0.000371375,0.000371375,0.000371375
73,13939.9,0.15413,0.17274,0.12792,0.7645,0,0.99796,1,0.995,0.96757,0.99796,1,0.995,0.95514,0.20987,0.42854,0.15774,0.77907,0,0.000359,0.000359,0.000359
74,14121.7,0.1603,0.16487,0.13294,0.77093,0,0.99836,1,0.995,0.96644,0.99836,1,0.995,0.95849,0.2129,0.40444,0.15126,0.77684,0,0.000346625,0.000346625,0.000346625
75,14317.4,0.15909,0.16446,0.13268,0.76666,0,0.99689,0.99904,0.995,0.96795,0.99689,0.99904,0.995,0.95985,0.21545,0.3912,0.14783,0.77602,0,0.00033425,0.00033425,0.00033425
76,14509,0.14887,0.16154,0.12703,0.76121,0,0.99658,0.99906,0.995,0.97068,0.99658,0.99906,0.995,0.95882,0.20133,0.38977,0.14381,0.77254,0,0.000321875,0.000321875,0.000321875
77,14693.3,0.14536,0.15814,0.12429,0.7651,0,0.99532,0.99895,0.995,0.97074,0.99532,0.99895,0.995,0.95768,0.20179,0.40923,0.14088,0.77468,0,0.0003095,0.0003095,0.0003095
78,14884.2,0.14144,0.1629,0.12207,0.75978,0,0.99821,0.99997,0.995,0.96543,0.99821,0.99997,0.995,0.958,0.20415,0.42594,0.1424,0.77471,0,0.000297125,0.000297125,0.000297125
79,15072,0.14423,0.16374,0.12041,0.76531,0,0.99842,1,0.995,0.96812,0.99842,1,0.995,0.95634,0.19822,0.43243,0.14051,0.77523,0,0.00028475,0.00028475,0.00028475
80,15257.4,0.14238,0.16041,0.12152,0.76049,0,0.99839,1,0.995,0.96596,0.99839,1,0.995,0.95775,0.21243,0.45361,0.14579,0.77852,0,0.000272375,0.000272375,0.000272375
81,15439.7,0.1433,0.15563,0.12201,0.75546,0,0.99847,1,0.995,0.96461,0.99847,1,0.995,0.95505,0.20896,0.44562,0.14169,0.77858,0,0.00026,0.00026,0.00026
82,15620.6,0.14,0.15275,0.11961,0.75841,0,0.99841,1,0.995,0.9682,0.99841,1,0.995,0.96005,0.20417,0.42692,0.14383,0.77634,0,0.000247625,0.000247625,0.000247625
83,15802.8,0.13388,0.15238,0.11717,0.76338,0,0.9984,1,0.995,0.96977,0.9984,1,0.995,0.95849,0.2001,0.43446,0.14275,0.77744,0,0.00023525,0.00023525,0.00023525
84,15988.4,0.12676,0.1465,0.11691,0.76183,0,0.99822,1,0.995,0.96885,0.99822,1,0.995,0.96075,0.19812,0.43697,0.14267,0.77694,0,0.000222875,0.000222875,0.000222875
85,16184.8,0.12909,0.14356,0.11701,0.763,0,0.99832,1,0.995,0.96873,0.99832,1,0.995,0.95979,0.19883,0.44454,0.14174,0.77623,0,0.0002105,0.0002105,0.0002105
86,16369.3,0.13048,0.14014,0.11451,0.76121,0,0.99804,1,0.995,0.96706,0.99804,1,0.995,0.95982,0.19788,0.44235,0.14106,0.77456,0,0.000198125,0.000198125,0.000198125
87,16554.4,0.12918,0.14385,0.11523,0.75932,0,0.99798,1,0.995,0.96929,0.99798,1,0.995,0.96068,0.19589,0.43993,0.1352,0.77431,0,0.00018575,0.00018575,0.00018575
88,16737.6,0.12223,0.14141,0.11276,0.76255,0,0.99751,0.99997,0.995,0.96695,0.99751,0.99997,0.995,0.96065,0.1969,0.43348,0.13568,0.77352,0,0.000173375,0.000173375,0.000173375
89,16925.3,0.12482,0.14182,0.11348,0.74867,0,0.99736,0.9997,0.995,0.96988,0.99736,0.9997,0.995,0.95917,0.20125,0.4487,0.13636,0.77506,0,0.000161,0.000161,0.000161
90,17106.7,0.12194,0.13887,0.10907,0.76767,0,0.99825,1,0.995,0.9668,0.99825,1,0.995,0.95992,0.19541,0.46736,0.13507,0.7753,0,0.000148625,0.000148625,0.000148625
