epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,177.6,0.99842,2.0572,8.18599,1.17484,0,0.49897,0.86085,0.74988,0.5643,0.49562,0.85254,0.74208,0.50098,0.69285,1.73247,7.31149,1.01558,0,0.000411458,0.000411458,0.000411458
2,363.261,0.71919,1.38079,4.33956,0.97282,0,0.7046,0.75331,0.82099,0.60842,0.71319,0.77929,0.83276,0.54958,0.83902,1.80795,6.8588,1.02614,0,0.000800797,0.000800797,0.000800797
3,554.901,0.81102,1.41247,4.02379,0.99524,0,0.64224,0.69847,0.78475,0.54404,0.63905,0.69979,0.79063,0.49151,0.89873,1.87383,7.75253,1.12767,0,0.00116264,0.00116264,0.00116264
4,749.335,0.85256,1.7766,3.82679,0.98812,0,0.67963,0.77133,0.81866,0.58044,0.68667,0.7625,0.80095,0.50482,0.93963,1.83101,6.90463,1.04569,0,0.00112625,0.00112625,0.00112625
5,951.177,0.81518,1.47961,3.28278,0.97258,0,0.8241,0.96875,0.98218,0.73377,0.81229,0.95625,0.96899,0.72974,0.86988,1.50874,4.41694,1.0152,0,0.001085,0.001085,0.001085
6,1156.84,0.79084,1.28074,2.92255,0.95608,0,0.89643,0.94225,0.97605,0.75006,0.89094,0.936,0.97521,0.7713,0.78703,1.15537,3.06999,0.97657,0,0.00104375,0.00104375,0.00104375
7,1348.21,0.80637,1.29509,2.40629,0.95706,0,0.93767,0.99022,0.99069,0.78471,0.9417,0.97545,0.9823,0.76379,0.70129,1.49959,2.3806,0.95058,0,0.0010025,0.0010025,0.0010025
8,1541.53,0.68268,1.24578,2.2463,0.92349,0,0.98034,0.9875,0.99391,0.82181,0.97418,0.98125,0.98528,0.79158,0.61997,1.11905,2.02848,0.91086,0,0.00096125,0.00096125,0.00096125
9,1737,0.65364,1.09171,2.00224,0.90425,0,0.98962,0.998,0.99457,0.82662,0.98342,0.99175,0.98814,0.79507,0.62809,1.06085,2.08403,0.9098,0,0.00092,0.00092,0.00092
10,1930.05,0.60309,1.01453,1.77255,0.87596,0,0.97805,0.9875,0.99197,0.85453,0.97185,0.98125,0.98769,0.8059,0.54195,1.20381,1.69221,0.88228,0,0.00087875,0.00087875,0.00087875
