epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,214.63,0.91344,1.96394,2.06025,1.21209,0,0.48919,0.92273,0.71597,0.54873,0.47877,0.91443,0.70363,0.49378,0.69055,1.63503,1.69405,1.01907,0,0.000411458,0.000411458,0.000411458
2,431.837,0.78871,1.61945,1.14024,1.07489,0,0.59934,0.90835,0.80643,0.5994,0.59431,0.90303,0.79016,0.58279,0.86789,1.43835,1.61277,1.14256,0,0.000800797,0.000800797,0.000800797
3,633.97,0.80961,1.53084,0.98473,1.07411,0,0.76849,0.77368,0.9285,0.65723,0.77446,0.77993,0.93639,0.64557,0.85746,1.76027,2.19473,1.1304,0,0.00116264,0.00116264,0.00116264
4,823.914,0.8219,1.39074,0.91714,1.05078,0,0.84539,0.76086,0.87018,0.68666,0.84539,0.76086,0.85835,0.65996,0.6979,1.39187,1.41062,1.01974,0,0.00112625,0.00112625,0.00112625
5,1013.91,0.71393,1.27299,0.9052,0.99974,0,0.89482,0.97284,0.98533,0.76573,0.88865,0.96659,0.98014,0.78117,0.71199,1.21755,0.80275,0.99633,0,0.001085,0.001085,0.001085
6,1228.06,0.7112,1.15108,0.6665,0.98305,0,0.8802,0.91534,0.89353,0.72271,0.87394,0.90909,0.88834,0.70837,0.65748,1.11269,0.80445,0.98702,0,0.00104375,0.00104375,0.00104375
7,1415,0.61855,1.00294,0.57679,0.95591,0,0.9217,0.93938,0.97989,0.84448,0.91521,0.93313,0.9716,0.83355,0.55589,0.89942,0.58394,0.9403,0,0.0010025,0.0010025,0.0010025
8,1603.63,0.5598,0.93411,0.49822,0.93176,0,0.95421,0.97786,0.98611,0.87666,0.94798,0.97161,0.98208,0.84699,0.52088,0.83738,0.46981,0.93095,0,0.00096125,0.00096125,0.00096125
9,1788.81,0.5302,0.90031,0.45362,0.92489,0,0.94525,0.99375,0.9869,0.86165,0.93921,0.9875,0.98072,0.8653,0.50597,0.80525,0.45894,0.92087,0,0.00092,0.00092,0.00092
10,1977.94,0.48428,0.79677,0.42135,0.897,0,0.95851,0.95798,0.98476,0.88628,0.95851,0.95798,0.98476,0.85441,0.44251,0.8438,0.43907,0.89598,0,0.00087875,0.00087875,0.00087875
11,2157.74,0.44827,0.79327,0.38512,0.87877,0,0.92115,0.95876,0.97393,0.90029,0.92115,0.95876,0.97393,0.87593,0.42146,0.7276,0.45175,0.89573,0,0.0008375,0.0008375,0.0008375
12,2337.79,0.43802,0.7187,0.37561,0.8841,0,0.97649,0.95896,0.99343,0.92238,0.93948,0.99402,0.99331,0.9044,0.38588,0.69616,0.36689,0.88348,0,0.00079625,0.00079625,0.00079625
13,2516.88,0.40913,0.6691,0.33828,0.86401,0,0.98526,0.98033,0.99411,0.92785,0.98526,0.98033,0.99411,0.89789,0.38333,0.73134,0.34933,0.88478,0,0.000755,0.000755,0.000755
14,2709.68,0.40232,0.6014,0.32787,0.85958,0,0.9794,0.97988,0.99405,0.92368,0.9794,0.97988,0.99405,0.91563,0.38132,0.60686,0.3511,0.87446,0,0.00071375,0.00071375,0.00071375
15,2886.76,0.37721,0.56973,0.31698,0.84716,0,0.98148,0.98934,0.99414,0.93784,0.9758,0.9907,0.99335,0.91655,0.35431,0.60768,0.32236,0.86434,0,0.0006725,0.0006725,0.0006725
16,3074.89,0.37684,0.55771,0.30307,0.85351,0,0.97022,0.98446,0.99326,0.92083,0.97008,0.97438,0.98986,0.90398,0.38117,0.68119,0.34094,0.88027,0,0.00063125,0.00063125,0.00063125
17,3255.91,0.36986,0.57179,0.289,0.85259,0,0.97496,0.99059,0.99321,0.93207,0.97608,0.97828,0.98071,0.90406,0.37274,0.65497,0.31634,0.879,0,0.00059,0.00059,0.00059
18,3442.44,0.34805,0.51863,0.27718,0.85304,0,0.97257,0.98145,0.99405,0.93894,0.97257,0.98145,0.99405,0.92674,0.34743,0.54765,0.30712,0.87537,0,0.00054875,0.00054875,0.00054875
