epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,248.817,0.29219,0.41042,0.22264,0.80908,0,0.99275,0.99135,0.99476,0.94761,0.98702,0.98435,0.99411,0.91358,0.3403,0.61026,0.26968,0.84339,0,0.000411458,0.000411458,0.000411458
2,463.283,0.36206,0.50898,0.30325,0.81403,0,0.98628,0.98557,0.99488,0.92249,0.98628,0.98557,0.99488,0.92211,0.36755,0.56486,0.30985,0.84238,0,0.000819927,0.000819927,0.000819927
3,669.215,0.38854,0.56793,0.32978,0.82848,0,0.9685,0.98579,0.98308,0.88709,0.96229,0.97954,0.98104,0.90815,0.4367,0.59418,0.35692,0.87443,0,0.00122014,0.00122014,0.00122014
4,873.204,0.41796,0.60918,0.38412,0.83117,0,0.97639,0.99618,0.99445,0.90805,0.96825,0.98269,0.98936,0.9081,0.44421,0.67754,0.36233,0.86554,0,0.00121287,0.00121287,0.00121287
5,1074.09,0.40575,0.6004,0.33004,0.8395,0,0.97376,0.98252,0.9893,0.91951,0.96722,0.97627,0.98149,0.88657,0.40968,0.81668,0.34518,0.86707,0,0.0012005,0.0012005,0.0012005
6,1279.13,0.39368,0.60428,0.3206,0.81947,0,0.97659,0.97612,0.9935,0.91837,0.97659,0.97612,0.9935,0.89781,0.41158,0.70176,0.33483,0.8601,0,0.00118812,0.00118812,0.00118812
7,1475.94,0.41268,0.5596,0.32656,0.82854,0,0.97422,0.99198,0.99445,0.89947,0.96803,0.98579,0.99379,0.92032,0.43691,0.63687,0.33098,0.86205,0,0.00117575,0.00117575,0.00117575
8,1677.59,0.41598,0.50421,0.32896,0.82904,0,0.98526,1,0.99409,0.91923,0.97843,0.99436,0.99274,0.93389,0.40591,0.5689,0.32114,0.85378,0,0.00116337,0.00116337,0.00116337
9,1874.88,0.37005,0.48573,0.30483,0.81629,0,0.98976,0.99221,0.995,0.9337,0.98976,0.99221,0.995,0.91546,0.366,0.63765,0.29286,0.84321,0,0.001151,0.001151,0.001151
10,2073.04,0.36102,0.46216,0.28611,0.80995,0,0.98283,0.99783,0.99476,0.94718,0.97652,0.99158,0.99446,0.9349,0.32894,0.5136,0.27475,0.8331,0,0.00113863,0.00113863,0.00113863
11,2265.72,0.34258,0.44219,0.26637,0.80048,0,0.98254,0.99159,0.99476,0.93311,0.97616,0.98534,0.9933,0.93549,0.35322,0.52906,0.27818,0.8407,0,0.00112625,0.00112625,0.00112625
