epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,195.979,0.95323,1.93178,2.1018,1.157,0,0.49013,0.94749,0.74472,0.56116,0.49398,0.95374,0.73786,0.53416,0.73185,1.53807,1.55693,1.0329,0,0.000411458,0.000411458,0.000411458
2,424.688,0.71956,1.42603,1.28978,0.97404,0,0.67346,0.70714,0.80001,0.5705,0.67346,0.70714,0.79199,0.54665,0.86588,1.84499,1.84112,1.05803,0,0.000800797,0.000800797,0.000800797
3,671.843,0.79288,1.45892,1.08124,0.98185,0,0.58307,0.89379,0.88805,0.68608,0.55698,0.84809,0.84486,0.57833,0.71339,1.64651,1.76148,0.97428,0,0.00116264,0.00116264,0.00116264
4,882.748,0.8812,1.43944,0.95809,1.01907,0,0.88212,0.91592,0.97817,0.77099,0.87346,0.90967,0.9709,0.73346,0.71056,1.48626,1.03402,1.02026,0,0.00112625,0.00112625,0.00112625
5,1091.96,0.68549,1.25375,0.72263,0.95744,0,0.78847,0.86194,0.94745,0.76355,0.78052,0.85596,0.93665,0.6431,0.59562,1.703,1.13888,0.91837,0,0.001085,0.001085,0.001085
6,1381.45,0.66237,1.1532,0.58445,0.9272,0,0.92655,0.9625,0.9877,0.85523,0.92034,0.95625,0.98157,0.81861,0.60362,0.99632,0.70228,0.91045,0,0.00104375,0.00104375,0.00104375
7,1639.01,0.54707,1.00628,0.49879,0.8968,0,0.97621,0.97018,0.99216,0.87678,0.96999,0.9642,0.98757,0.86164,0.48179,0.84014,0.4981,0.88052,0,0.0010025,0.0010025,0.0010025
8,1892.83,0.53297,0.86176,0.43607,0.89429,0,0.99452,1,0.995,0.895,0.99452,1,0.995,0.84622,0.45477,0.87837,0.41805,0.88678,0,0.00096125,0.00096125,0.00096125
9,2165.56,0.50495,0.88076,0.40583,0.88506,0,0.99448,1,0.995,0.89733,0.98827,0.99375,0.98825,0.89691,0.48517,0.75045,0.40354,0.88728,0,0.00092,0.00092,0.00092
10,2412.84,0.48908,0.76819,0.38362,0.87061,0,0.94924,0.94932,0.98536,0.88167,0.94305,0.94307,0.98108,0.88698,0.48918,0.73936,0.4495,0.88237,0,0.00087875,0.00087875,0.00087875
11,2656.18,0.48315,0.74056,0.35269,0.85927,0,0.98521,1,0.9947,0.9035,0.97903,0.99375,0.99354,0.91365,0.43224,0.66195,0.34637,0.85986,0,0.0008375,0.0008375,0.0008375
12,2951.88,0.4399,0.67627,0.3346,0.85218,0,0.98901,0.99375,0.98927,0.90794,0.984,0.98903,0.98866,0.90142,0.41523,0.66166,0.32571,0.86218,0,0.00079625,0.00079625,0.00079625
13,3248.69,0.41432,0.64058,0.31657,0.83947,0,0.99755,0.99885,0.995,0.91208,0.99469,0.99375,0.99488,0.91498,0.41212,0.63345,0.30463,0.85809,0,0.000755,0.000755,0.000755
14,3557.19,0.40416,0.60904,0.31229,0.83255,0,0.98658,0.99812,0.9947,0.93324,0.98304,0.99615,0.99427,0.92295,0.39633,0.60632,0.32766,0.85948,0,0.00071375,0.00071375,0.00071375
15,3833.66,0.3976,0.60901,0.30957,0.82756,0,0.99039,0.99255,0.99422,0.9357,0.98834,0.9875,0.9941,0.91772,0.35554,0.58014,0.30912,0.8491,0,0.0006725,0.0006725,0.0006725
16,4106.71,0.37145,0.56982,0.29591,0.82632,0,0.99367,0.98558,0.995,0.94695,0.99367,0.98558,0.995,0.92102,0.34539,0.59811,0.29737,0.84293,0,0.00063125,0.00063125,0.00063125
