epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3641,0.96168,3.05746,1.09679,0.01534,1,0.26771,0.22442,0.56643,3.11742,0.82748,0.00040625,0.00040625,0.00040625
2,61.8279,0.91415,2.57785,1.11624,0.72357,0.18125,0.57684,0.5115,0.45457,2.5167,0.81635,0.00079576,0.00079576,0.00079576
3,95.206,0.83451,2.23588,1.05806,0.4735,0.9603,0.54265,0.49369,0.48634,1.72647,0.82978,0.00115777,0.00115777,0.00115777
4,130.343,0.77422,1.89448,1.05326,0.36146,0.85625,0.56784,0.53164,0.37862,1.54664,0.81314,0.00112625,0.00112625,0.00112625
5,164.749,0.71651,1.67388,1.0306,0.47182,0.89348,0.57431,0.51831,0.44317,1.37401,0.8182,0.001085,0.001085,0.001085
6,209.015,0.71596,1.56903,1.01006,0.47386,0.925,0.60366,0.55864,0.40622,1.48197,0.80412,0.00104375,0.00104375,0.00104375
7,255.174,0.68975,1.47427,0.99267,0.4822,0.66246,0.57395,0.51479,0.40957,1.78543,0.82589,0.0010025,0.0010025,0.0010025
8,306.068,0.62545,1.39812,0.96544,0.48542,0.8875,0.63814,0.5947,0.35091,1.32937,0.80192,0.00096125,0.00096125,0.00096125
9,354.427,0.64054,1.33719,0.97288,0.5666,0.925,0.70288,0.64855,0.34595,1.18275,0.80274,0.00092,0.00092,0.00092
10,400.756,0.60215,1.28654,0.96657,0.57117,0.95,0.68073,0.61177,0.37747,1.23675,0.81224,0.00087875,0.00087875,0.00087875
11,444,0.59924,1.27321,0.95851,0.61405,0.95625,0.8014,0.74157,0.39276,0.98354,0.80542,0.0008375,0.0008375,0.0008375
12,487.532,0.5945,1.22102,0.95253,0.69197,0.925,0.79099,0.75502,0.3134,0.9436,0.7902,0.00079625,0.00079625,0.00079625
13,531.934,0.54689,1.20549,0.9533,0.73113,0.875,0.81489,0.77857,0.30186,0.91692,0.78986,0.000755,0.000755,0.000755
14,576.237,0.51878,1.16477,0.93322,0.7547,0.95568,0.85675,0.83218,0.2753,0.85974,0.78448,0.00071375,0.00071375,0.00071375
15,619.772,0.53277,1.13957,0.93807,0.81025,0.9625,0.93708,0.91757,0.249,0.76842,0.78276,0.0006725,0.0006725,0.0006725
16,662.249,0.48922,1.09223,0.91216,0.82436,0.94375,0.94825,0.94137,0.24327,0.76364,0.78103,0.00063125,0.00063125,0.00063125
17,705.138,0.47693,1.04094,0.91661,0.84095,0.98125,0.95173,0.93597,0.24576,0.75138,0.78371,0.00059,0.00059,0.00059
18,748.856,0.49412,1.02606,0.92262,0.89954,0.94375,0.96212,0.93466,0.27007,0.70366,0.78504,0.00054875,0.00054875,0.00054875
19,791.293,0.45784,1.00436,0.90527,0.96193,0.95433,0.98619,0.97813,0.23708,0.62949,0.77943,0.0005075,0.0005075,0.0005075
20,834.305,0.44665,0.95638,0.90315,0.97267,0.97624,0.99367,0.98563,0.22002,0.58671,0.77629,0.00046625,0.00046625,0.00046625
21,877.428,0.29101,0.72698,0.7963,0.97443,0.96169,0.9932,0.96229,0.27038,0.60004,0.78214,0.000425,0.000425,0.000425
22,918.687,0.27922,0.68462,0.79083,0.98323,0.98306,0.9944,0.97468,0.25162,0.59655,0.77753,0.00038375,0.00038375,0.00038375
23,961.024,0.25477,0.63041,0.79045,0.99159,1,0.995,0.9922,0.19321,0.50461,0.77205,0.0003425,0.0003425,0.0003425
24,1003.45,0.23081,0.5699,0.78705,0.99483,0.99707,0.995,0.99009,0.1953,0.47794,0.77404,0.00030125,0.00030125,0.00030125
25,1044.21,0.21793,0.53808,0.77932,0.96362,0.98826,0.99427,0.99356,0.18281,0.50259,0.7697,0.00026,0.00026,0.00026
26,1086.08,0.20769,0.51668,0.77639,0.98389,0.99451,0.995,0.995,0.15629,0.4642,0.76808,0.00021875,0.00021875,0.00021875
27,1127.57,0.19821,0.49936,0.77903,0.99021,0.99992,0.995,0.99073,0.15819,0.44472,0.76769,0.0001775,0.0001775,0.0001775
28,1171.46,0.18647,0.48254,0.77295,0.99106,1,0.995,0.99009,0.15584,0.44607,0.76788,0.00013625,0.00013625,0.00013625
29,1213.43,0.18352,0.47231,0.77714,0.99185,1,0.995,0.99362,0.14842,0.42715,0.76814,9.5e-05,9.5e-05,9.5e-05
30,1254.65,0.1762,0.45764,0.77516,0.99502,1,0.995,0.99432,0.13871,0.41259,0.76755,5.375e-05,5.375e-05,5.375e-05
