epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5785,0.99719,3.09646,1.10069,0.01843,0.98125,0.15701,0.12574,0.69394,3.15101,0.87347,0.00040625,0.00040625,0.00040625
2,75.004,0.84438,2.54672,1.06984,0.40632,0.24382,0.51227,0.47332,0.35903,2.57316,0.80355,0.00081477,0.00081477,0.00081477
3,114.298,0.83368,2.17266,1.09555,0.44849,0.84701,0.51278,0.4705,0.46881,1.80131,0.83044,0.00121504,0.00121504,0.00121504
4,166.922,0.79085,1.87443,1.05639,0.48501,0.9976,0.57063,0.52479,0.39907,1.51262,0.80648,0.00121287,0.00121287,0.00121287
5,218.449,0.74472,1.69967,1.01685,0.49147,0.82807,0.62716,0.58165,0.40185,1.59532,0.80667,0.0012005,0.0012005,0.0012005
6,291.14,0.76,1.563,1.02208,0.46631,0.7375,0.61659,0.55683,0.45673,1.69234,0.81815,0.00118812,0.00118812,0.00118812
7,362.601,0.70967,1.50182,1.01226,0.55506,0.93104,0.62313,0.58031,0.35839,1.26148,0.79694,0.00117575,0.00117575,0.00117575
8,411.166,0.63394,1.38407,0.96427,0.56991,0.91103,0.67117,0.62256,0.38279,1.18713,0.80276,0.00116337,0.00116337,0.00116337
9,461.61,0.61112,1.37612,0.95903,0.56158,0.89375,0.65757,0.61329,0.39316,1.10175,0.80537,0.001151,0.001151,0.001151
10,514.584,0.61539,1.33797,0.96758,0.5817,0.88125,0.69487,0.66144,0.32317,1.05355,0.79303,0.00113863,0.00113863,0.00113863
11,567.479,0.56833,1.2516,0.93601,0.69766,0.84155,0.785,0.7364,0.32832,0.99687,0.79369,0.00112625,0.00112625,0.00112625
12,619.823,0.58966,1.27208,0.95324,0.65294,0.90625,0.7997,0.7344,0.38271,1.06371,0.80362,0.00111388,0.00111388,0.00111388
13,669.46,0.56147,1.20647,0.93203,0.68546,0.875,0.82181,0.78405,0.32293,0.95358,0.7961,0.0011015,0.0011015,0.0011015
14,722.097,0.56157,1.16659,0.94454,0.67658,0.97697,0.82573,0.77404,0.35108,0.91967,0.79764,0.00108913,0.00108913,0.00108913
15,778.978,0.59091,1.23249,0.96712,0.81013,0.91875,0.92235,0.90546,0.26525,0.82773,0.78429,0.00107675,0.00107675,0.00107675
16,830.479,0.52775,1.12132,0.94228,0.85239,0.9,0.94571,0.87625,0.38614,0.80984,0.79915,0.00106437,0.00106437,0.00106437
17,885.702,0.56016,1.10834,0.93094,0.84469,0.9419,0.96634,0.90905,0.36377,0.74105,0.79316,0.001052,0.001052,0.001052
18,946.702,0.51781,1.05219,0.92771,0.85998,0.95746,0.97265,0.95491,0.26074,0.69279,0.78256,0.00103962,0.00103962,0.00103962
19,1005.49,0.51876,0.99664,0.93053,0.87467,0.93876,0.98147,0.94966,0.30915,0.66821,0.79162,0.00102725,0.00102725,0.00102725
20,1064.2,0.51307,0.9668,0.9241,0.94007,0.97946,0.99457,0.94735,0.34036,0.6089,0.7961,0.00101488,0.00101488,0.00101488
21,1118.1,0.51544,0.9611,0.93156,0.92785,0.97392,0.97403,0.95669,0.26306,0.59543,0.78613,0.0010025,0.0010025,0.0010025
22,1174.07,0.48959,0.89777,0.90142,0.91483,0.95219,0.97555,0.93039,0.31846,0.61494,0.7892,0.000990125,0.000990125,0.000990125
23,1228.41,0.49233,0.92291,0.9169,0.91151,0.98125,0.98493,0.96712,0.26327,0.57957,0.78404,0.00097775,0.00097775,0.00097775
24,1285,0.46037,0.84705,0.90532,0.99336,0.99375,0.99476,0.97982,0.26067,0.48198,0.78575,0.000965375,0.000965375,0.000965375
25,1342.8,0.47096,0.91059,0.91288,0.94395,0.94547,0.97394,0.95325,0.25795,0.5559,0.78171,0.000953,0.000953,0.000953
26,1402.77,0.4818,0.87857,0.92356,0.98196,0.975,0.99381,0.98348,0.26121,0.5007,0.78208,0.000940625,0.000940625,0.000940625
27,1457.86,0.48391,0.88607,0.93029,0.962,0.97945,0.99366,0.9797,0.24045,0.5076,0.77904,0.00092825,0.00092825,0.00092825
28,1514.24,0.44394,0.82127,0.90699,0.97461,0.9875,0.99285,0.96759,0.28371,0.49308,0.78553,0.000915875,0.000915875,0.000915875
29,1569.86,0.44447,0.86151,0.91145,0.91969,0.94427,0.99103,0.97685,0.25065,0.56326,0.77844,0.0009035,0.0009035,0.0009035
30,1626.72,0.45212,0.81178,0.91389,0.95869,0.99013,0.9944,0.97797,0.24494,0.49421,0.77836,0.000891125,0.000891125,0.000891125
31,1681.36,0.45741,0.8608,0.92135,0.98812,1,0.99488,0.98676,0.22475,0.43952,0.77809,0.00087875,0.00087875,0.00087875
32,1738.07,0.40568,0.75566,0.89051,0.99407,1,0.995,0.9824,0.24108,0.43097,0.77943,0.000866375,0.000866375,0.000866375
33,1795.64,0.42281,0.75678,0.90142,0.99545,0.99653,0.995,0.98632,0.22966,0.40824,0.7763,0.000854,0.000854,0.000854
34,1848.63,0.42089,0.74884,0.89594,0.99684,1,0.995,0.98147,0.24396,0.39947,0.77786,0.000841625,0.000841625,0.000841625
35,1904.1,0.41826,0.72503,0.89193,0.99669,1,0.995,0.98544,0.22415,0.39895,0.77694,0.00082925,0.00082925,0.00082925
36,1954.61,0.41975,0.71274,0.88828,0.99054,0.99375,0.9938,0.98502,0.24194,0.42448,0.77803,0.000816875,0.000816875,0.000816875
37,1993.16,0.42334,0.72735,0.90349,0.98943,1,0.99457,0.97242,0.26249,0.42305,0.77889,0.0008045,0.0008045,0.0008045
38,2027.07,0.41274,0.73878,0.90748,0.99715,1,0.995,0.98131,0.25679,0.40055,0.77928,0.000792125,0.000792125,0.000792125
39,2060.06,0.41017,0.73319,0.89461,0.99682,1,0.995,0.98684,0.18576,0.35782,0.7721,0.00077975,0.00077975,0.00077975
40,2096.73,0.40167,0.71462,0.89096,0.99766,1,0.995,0.98051,0.22124,0.3718,0.77502,0.000767375,0.000767375,0.000767375
41,2155.94,0.3985,0.69912,0.88366,0.99718,1,0.995,0.98976,0.20679,0.39263,0.77201,0.000755,0.000755,0.000755
42,2194.79,0.37105,0.66995,0.88674,0.99653,1,0.995,0.98977,0.20488,0.37219,0.77253,0.000742625,0.000742625,0.000742625
43,2228.64,0.39764,0.71865,0.89843,0.99764,1,0.995,0.98898,0.21448,0.3485,0.77383,0.00073025,0.00073025,0.00073025
44,2264,0.39893,0.69934,0.89483,0.99709,1,0.995,0.9904,0.2098,0.34906,0.77506,0.000717875,0.000717875,0.000717875
45,2304.42,0.36389,0.6797,0.86813,0.99595,1,0.995,0.99187,0.1972,0.35267,0.77534,0.0007055,0.0007055,0.0007055
46,2356.04,0.374,0.69191,0.89469,0.99684,1,0.995,0.99152,0.19488,0.34275,0.77524,0.000693125,0.000693125,0.000693125
47,2393.11,0.38655,0.68011,0.89604,0.99708,1,0.995,0.98922,0.21551,0.34716,0.77314,0.00068075,0.00068075,0.00068075
48,2426.75,0.37049,0.62202,0.88328,0.99659,1,0.995,0.98807,0.1988,0.33578,0.77302,0.000668375,0.000668375,0.000668375
49,2460.06,0.37902,0.68018,0.87911,0.99568,1,0.995,0.99194,0.19627,0.34068,0.7742,0.000656,0.000656,0.000656
50,2496.55,0.36,0.60862,0.88461,0.99879,0.99945,0.995,0.98726,0.2394,0.34311,0.77812,0.000643625,0.000643625,0.000643625
51,2540.31,0.35212,0.60266,0.87841,0.99787,1,0.995,0.99407,0.18904,0.32876,0.77226,0.00063125,0.00063125,0.00063125
52,2589.14,0.37601,0.65895,0.89077,0.99848,1,0.995,0.97692,0.27142,0.3406,0.7804,0.000618875,0.000618875,0.000618875
