epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.0594,0.39802,1.69803,0.85578,0.99752,1,0.995,0.95688,0.28968,1.44643,0.74427,0.000411458,0.000411458,0.000411458
2,214.755,0.31908,1.46992,0.81205,0.98878,0.99445,0.995,0.96498,0.27637,1.42505,0.73873,0.000817877,0.000817877,0.000817877
3,275.896,0.33649,1.49405,0.80446,0.98797,0.98832,0.99457,0.95202,0.30531,1.51186,0.74561,0.00121398,0.00121398,0.00121398
4,331.129,0.34529,1.48614,0.81922,0.99695,1,0.995,0.9592,0.2894,1.38915,0.7393,0.00120359,0.00120359,0.00120359
5,395.575,0.32405,1.43019,0.79714,0.99623,1,0.995,0.96758,0.28445,1.27527,0.73944,0.00118812,0.00118812,0.00118812
6,470.527,0.3174,1.35197,0.79805,0.99136,1,0.995,0.9633,0.28658,1.2856,0.73856,0.00117266,0.00117266,0.00117266
7,533.013,0.30153,1.32107,0.79554,0.97612,1,0.99298,0.95853,0.28694,1.33331,0.74185,0.00115719,0.00115719,0.00115719
8,595.553,0.29392,1.25762,0.79618,0.99778,1,0.995,0.96054,0.27112,1.1411,0.73373,0.00114172,0.00114172,0.00114172
9,675.892,0.30026,1.2326,0.79877,0.99787,1,0.995,0.96706,0.26638,1.12765,0.73313,0.00112625,0.00112625,0.00112625
10,744.979,0.28138,1.18499,0.7905,0.99567,1,0.995,0.96639,0.25786,1.10398,0.73294,0.00111078,0.00111078,0.00111078
11,832.886,0.2746,1.12545,0.79325,0.99817,1,0.995,0.96426,0.25876,1.04164,0.7331,0.00109531,0.00109531,0.00109531
12,942.816,0.26803,1.12639,0.78924,0.99823,1,0.995,0.96572,0.25694,1.0505,0.73145,0.00107984,0.00107984,0.00107984
13,1039.69,0.26652,1.0936,0.78462,0.99384,1,0.995,0.97324,0.2248,1.05453,0.72539,0.00106437,0.00106437,0.00106437
14,1091.51,0.25583,1.04829,0.78359,0.99838,1,0.995,0.97633,0.22734,0.94811,0.72802,0.00104891,0.00104891,0.00104891
15,1148.34,0.24913,1.01501,0.78822,0.99795,1,0.995,0.97406,0.23189,0.95711,0.72775,0.00103344,0.00103344,0.00103344
16,1253.57,0.24372,0.98226,0.78506,0.99619,1,0.995,0.97359,0.22499,0.91485,0.72551,0.00101797,0.00101797,0.00101797
17,1378.15,0.24095,0.97637,0.77947,0.99807,1,0.995,0.97416,0.22325,0.92063,0.72569,0.0010025,0.0010025,0.0010025
18,1459.18,0.23464,0.95862,0.78242,0.99804,1,0.995,0.97236,0.22943,0.89599,0.7272,0.000987031,0.000987031,0.000987031
19,1513.51,0.24736,0.96116,0.78543,0.998,1,0.995,0.97139,0.23786,0.91753,0.72716,0.000971562,0.000971562,0.000971562
20,1570.85,0.23678,0.93241,0.78363,0.9983,1,0.995,0.97182,0.23968,0.91433,0.72604,0.000956094,0.000956094,0.000956094
21,1646.86,0.25138,0.9683,0.77836,0.99813,1,0.995,0.97258,0.23807,0.87702,0.72616,0.000940625,0.000940625,0.000940625
22,1717.32,0.25381,0.94512,0.78308,0.99789,1,0.995,0.97266,0.2255,0.85937,0.72604,0.000925156,0.000925156,0.000925156
23,1774.96,0.24354,0.91036,0.78343,0.99778,0.99494,0.995,0.97445,0.22512,0.89281,0.72501,0.000909688,0.000909688,0.000909688
24,1867.82,0.23839,0.87611,0.78458,0.99598,0.99624,0.995,0.9725,0.23287,0.87174,0.72692,0.000894219,0.000894219,0.000894219
25,1939.3,0.25364,0.88853,0.77517,0.99735,0.99967,0.995,0.96057,0.27868,0.90644,0.73665,0.00087875,0.00087875,0.00087875
26,2052.18,0.2551,0.87834,0.77714,0.99793,1,0.995,0.97515,0.22295,0.80575,0.72394,0.000863281,0.000863281,0.000863281
27,2165.43,0.23458,0.84025,0.7779,0.99823,1,0.995,0.98042,0.2419,0.80313,0.72764,0.000847813,0.000847813,0.000847813
28,2278.77,0.22431,0.806,0.78548,0.99807,1,0.995,0.97558,0.22922,0.80515,0.72534,0.000832344,0.000832344,0.000832344
29,2386.92,0.21604,0.79204,0.77619,0.9974,0.99967,0.995,0.9746,0.20764,0.77982,0.72277,0.000816875,0.000816875,0.000816875
