epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4971,1.03027,3.06751,1.12185,0.01945,0.99375,0.31084,0.26831,0.63433,3.08907,0.85515,0.00040625,0.00040625,0.00040625
2,75.9688,0.91127,2.57106,1.10045,0.46076,0.14649,0.56606,0.47629,0.50331,2.5086,0.83196,0.00079576,0.00079576,0.00079576
3,117.716,0.91695,2.16836,1.10107,0.46816,0.9478,0.54768,0.46945,0.54759,1.68252,0.84477,0.00115777,0.00115777,0.00115777
4,165.64,0.8908,1.88795,1.09998,0.47881,0.88177,0.55439,0.47969,0.52508,1.5304,0.84041,0.00112625,0.00112625,0.00112625
5,213.268,0.81794,1.71253,1.05426,0.41092,0.93864,0.54175,0.46729,0.5226,1.59058,0.84044,0.001085,0.001085,0.001085
6,269.825,0.80085,1.58655,1.04303,0.4798,0.91875,0.58604,0.51732,0.50665,1.38034,0.83109,0.00104375,0.00104375,0.00104375
7,316.45,0.77972,1.5043,1.02396,0.5376,0.8875,0.6127,0.54457,0.44478,1.25536,0.82149,0.0010025,0.0010025,0.0010025
8,361.584,0.74211,1.44992,1.00203,0.59886,0.96483,0.647,0.57155,0.46778,1.16194,0.82664,0.00096125,0.00096125,0.00096125
9,406.244,0.74084,1.4087,1.01687,0.60598,0.95022,0.6921,0.624,0.47225,1.1431,0.82755,0.00092,0.00092,0.00092
10,456.04,0.69453,1.3376,0.98776,0.58378,0.94493,0.69324,0.64475,0.39093,1.07215,0.8149,0.00087875,0.00087875,0.00087875
11,501.566,0.68475,1.33907,0.98732,0.60551,0.91292,0.69008,0.58777,0.57026,1.11343,0.84995,0.0008375,0.0008375,0.0008375
12,549.098,0.69388,1.30104,0.99455,0.67921,0.92217,0.77914,0.71633,0.38372,1.019,0.81162,0.00079625,0.00079625,0.00079625
13,594.051,0.67232,1.2861,0.98971,0.69842,0.91958,0.76936,0.71321,0.38193,0.97382,0.81128,0.000755,0.000755,0.000755
14,638.001,0.63445,1.22807,0.97496,0.73298,0.84999,0.80349,0.75307,0.37714,0.939,0.80631,0.00071375,0.00071375,0.00071375
15,681.574,0.61434,1.20282,0.968,0.7685,0.89339,0.85654,0.79259,0.38521,0.86587,0.80945,0.0006725,0.0006725,0.0006725
16,723.412,0.60289,1.16766,0.94593,0.77206,0.90853,0.87967,0.81046,0.39814,0.84383,0.81162,0.00063125,0.00063125,0.00063125
17,767.455,0.57002,1.12425,0.94293,0.74756,0.88964,0.86613,0.79341,0.4158,0.88109,0.81824,0.00059,0.00059,0.00059
18,806.915,0.56917,1.11757,0.93903,0.78961,0.925,0.87534,0.82121,0.36332,0.82065,0.80745,0.00054875,0.00054875,0.00054875
19,849.454,0.58229,1.08783,0.94748,0.81097,0.925,0.90412,0.86147,0.35253,0.77573,0.80334,0.0005075,0.0005075,0.0005075
20,894.338,0.53035,1.06066,0.92996,0.7914,0.94375,0.91005,0.84779,0.37192,0.75003,0.80811,0.00046625,0.00046625,0.00046625
21,939.842,0.44613,0.85534,0.83811,0.91899,0.99374,0.96638,0.9008,0.38776,0.7011,0.81042,0.000425,0.000425,0.000425
22,982.698,0.41175,0.78995,0.82175,0.91079,0.96325,0.96152,0.92183,0.33412,0.70738,0.80013,0.00038375,0.00038375,0.00038375
23,1022.78,0.3746,0.75504,0.82356,0.94209,0.96875,0.97334,0.92445,0.32768,0.64453,0.80042,0.0003425,0.0003425,0.0003425
24,1064.92,0.34724,0.69535,0.81525,0.943,0.9625,0.97559,0.94409,0.27787,0.63495,0.79051,0.00030125,0.00030125,0.00030125
25,1107.6,0.32672,0.64526,0.80284,0.96342,0.99732,0.99226,0.96514,0.26605,0.59637,0.78937,0.00026,0.00026,0.00026
26,1145.43,0.31371,0.6188,0.79972,0.98709,1,0.995,0.9635,0.26852,0.56714,0.78994,0.00021875,0.00021875,0.00021875
27,1196.56,0.29796,0.5891,0.80127,0.98485,0.98025,0.9947,0.96576,0.26284,0.53376,0.78875,0.0001775,0.0001775,0.0001775
28,1253.67,0.29319,0.56912,0.79582,0.98838,1,0.995,0.96615,0.2463,0.50377,0.78705,0.00013625,0.00013625,0.00013625
29,1304.11,0.2935,0.54262,0.79984,0.99434,1,0.995,0.9681,0.239,0.47545,0.78621,9.5e-05,9.5e-05,9.5e-05
30,1359.28,0.27439,0.5209,0.79374,0.99435,0.99855,0.995,0.96873,0.2393,0.46903,0.78661,5.375e-05,5.375e-05,5.375e-05
