epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7968,1.07307,3.10564,1.12341,0.01817,1,0.31489,0.27424,0.58368,3.06982,0.83193,0.00040625,0.00040625,0.00040625
2,67.6769,0.92145,2.54488,1.0898,0.77216,0.12302,0.58052,0.50927,0.44559,2.57092,0.8252,0.00081477,0.00081477,0.00081477
3,103.915,0.92261,2.14295,1.12122,0.46904,0.975,0.58399,0.50378,0.54107,1.64119,0.85588,0.00121504,0.00121504,0.00121504
4,150.869,0.91018,1.86481,1.09507,0.49136,1,0.59861,0.50392,0.59795,1.4852,0.86169,0.00121287,0.00121287,0.00121287
5,202.234,0.83559,1.69881,1.0605,0.51714,0.86044,0.61132,0.51154,0.55908,1.57262,0.8414,0.0012005,0.0012005,0.0012005
6,250.464,0.83898,1.56612,1.04618,0.49212,0.87987,0.6409,0.53801,0.56567,1.56163,0.84633,0.00118812,0.00118812,0.00118812
7,299.322,0.77585,1.48595,1.03437,0.55294,0.86875,0.63467,0.56409,0.44848,1.27272,0.81997,0.00117575,0.00117575,0.00117575
8,346.615,0.73786,1.40104,1.00136,0.54264,0.91875,0.68918,0.61322,0.48988,1.30003,0.83103,0.00116337,0.00116337,0.00116337
9,393.53,0.72595,1.38119,0.99365,0.61538,0.88125,0.73843,0.64866,0.51999,1.17688,0.83783,0.001151,0.001151,0.001151
10,440.428,0.70186,1.3367,0.99779,0.63083,0.94375,0.77241,0.66589,0.56288,1.20528,0.84567,0.00113863,0.00113863,0.00113863
11,487.15,0.66033,1.27563,0.9704,0.68201,0.91395,0.758,0.67528,0.46761,1.17666,0.8295,0.00112625,0.00112625,0.00112625
12,537.625,0.67278,1.2675,0.98127,0.67583,0.93125,0.74589,0.66684,0.46529,1.08382,0.83134,0.00111388,0.00111388,0.00111388
13,592.101,0.64206,1.2155,0.96283,0.71138,0.95073,0.799,0.70706,0.49491,1.01474,0.8325,0.0011015,0.0011015,0.0011015
14,639.547,0.65398,1.17488,0.974,0.67676,0.95496,0.82276,0.7307,0.49519,0.91774,0.83465,0.00108913,0.00108913,0.00108913
15,686.506,0.66854,1.2107,0.97838,0.82155,0.91821,0.86589,0.80604,0.40342,0.8071,0.81355,0.00107675,0.00107675,0.00107675
16,734.547,0.62897,1.12681,0.96992,0.80106,0.94144,0.85261,0.77842,0.45267,0.81896,0.82812,0.00106437,0.00106437,0.00106437
17,781.32,0.65839,1.14139,0.9592,0.76479,0.98655,0.86466,0.81397,0.37768,0.77058,0.81093,0.001052,0.001052,0.001052
