epoch,lr,pos_weight,floor_q,train_loss,val_loss,precision,recall,iou,f1,tp,fp,fn,tn,best_metric,best_value,saved_best
1,9.97260948e-05,2.000000,0.050000,0.56404187,0.51713427,0.75437539,0.99942175,0.75404627,0.85977923,159008,51773,92,264263,val_f1,0.85977923,1
2,9.89073800e-05,2.000000,0.050000,0.22038576,0.21022433,0.96909739,0.99834695,0.96754485,0.98350475,158837,5065,263,310971,val_f1,0.98350475,1
3,9.75528258e-05,2.000000,0.050000,0.13136722,0.15478469,0.99704445,0.99231930,0.98940890,0.99467626,157878,468,1222,315568,val_f1,0.99467626,1
4,9.56772729e-05,2.000000,0.050000,0.09479398,0.11350901,0.99814807,0.99597109,0.99413403,0.99705839,158459,294,641,315742,val_f1,0.99705839,1
5,9.33012702e-05,2.000000,0.050000,0.07467213,0.07852909,0.99841815,0.99971716,0.99813620,0.99906723,159055,252,45,315784,val_f1,0.99906723,1
6,9.04508497e-05,2.000000,0.050000,0.06188472,0.06736348,0.99955338,0.99875550,0.99830999,0.99915428,158902,71,198,315965,val_f1,0.99915428,1
7,8.71572413e-05,2.000000,0.050000,0.05292153,0.05833346,0.99928708,0.99553111,0.99482454,0.99740556,158389,113,711,315923,val_f1,0.99915428,0
8,8.34565303e-05,2.000000,0.050000,0.04589714,0.04652240,0.99989936,0.99911376,0.99901330,0.99950641,158959,16,141,316020,val_f1,0.99950641,1
9,7.93892626e-05,2.000000,0.050000,0.04030994,0.06541973,0.99960945,0.99740415,0.99701562,0.99850558,158687,62,413,315974,val_f1,0.99950641,0
10,7.50000000e-05,2.000000,0.050000,0.03588055,0.03863364,0.99980507,0.99938404,0.99918935,0.99959451,159002,31,98,316005,val_f1,0.99959451,1
11,7.03368322e-05,2.000000,0.050000,0.03238165,0.03448806,0.99983013,0.99884349,0.99867402,0.99933657,158916,27,184,316009,val_f1,0.99959451,0
12,6.54508497e-05,2.000000,0.050000,0.02943842,0.03027110,0.99975473,0.99918919,0.99894432,0.99947188,158971,39,129,315997,val_f1,0.99959451,0
13,6.03955845e-05,2.000000,0.050000,0.02706631,0.02811952,0.99985538,0.99949089,0.99934642,0.99967310,159019,23,81,316013,val_f1,0.99967310,1
14,5.52264232e-05,2.000000,0.050000,0.02496134,0.02356115,0.99988686,0.99984287,0.99972976,0.99986486,159075,18,25,316018,val_f1,0.99986486,1
15,5.00000000e-05,2.000000,0.050000,0.02345071,0.02212414,0.99989315,0.99991829,0.99981146,0.99990572,159087,17,13,316019,val_f1,0.99990572,1
16,4.47735768e-05,2.000000,0.050000,0.02184323,0.02240806,0.99993712,0.99945317,0.99939036,0.99969509,159013,10,87,316026,val_f1,0.99990572,0
17,3.96044155e-05,2.000000,0.050000,0.02086958,0.02482789,0.99982388,0.99911376,0.99893796,0.99946870,158959,28,141,316008,val_f1,0.99990572,0
18,3.45491503e-05,2.000000,0.050000,0.01976046,0.01980056,0.99989938,0.99934004,0.99923955,0.99961963,158995,16,105,316020,val_f1,0.99990572,0
19,2.96631678e-05,2.000000,0.050000,0.01906741,0.02279007,0.99989939,0.99947832,0.99937781,0.99968881,159017,16,83,316020,val_f1,0.99990572,0
20,2.50000000e-05,2.000000,0.050000,0.01839224,0.02028274,0.99986173,0.99994972,0.99981147,0.99990572,159092,22,8,316014,val_f1,0.99990572,1
21,2.06107374e-05,2.000000,0.050000,0.01773931,0.01802164,0.99996856,0.99965431,0.99962289,0.99981141,159045,5,55,316031,val_f1,0.99990572,0
22,1.65434697e-05,2.000000,0.050000,0.01736958,0.01830577,0.99977998,0.99962916,0.99940931,0.99970457,159041,35,59,316001,val_f1,0.99990572,0
23,1.28427587e-05,2.000000,0.050000,0.01706215,0.01965464,0.99982390,0.99922690,0.99905108,0.99952531,158977,28,123,316008,val_f1,0.99990572,0
24,9.54915028e-06,2.000000,0.050000,0.01682540,0.01640809,0.99985543,0.99982401,0.99967949,0.99983972,159072,23,28,316013,val_f1,0.99990572,0
25,6.69872981e-06,2.000000,0.050000,0.01652245,0.01837008,0.99996854,0.99891892,0.99888753,0.99944345,158928,5,172,316031,val_f1,0.99990572,0
26,4.32272712e-06,2.000000,0.050000,0.01636719,0.01639503,0.99993083,0.99954745,0.99947835,0.99973911,159028,11,72,316025,val_f1,0.99990572,0
27,2.44717419e-06,2.000000,0.050000,0.01626264,0.01946152,0.99981135,0.99934632,0.99915792,0.99957878,158996,30,104,316006,val_f1,0.99990572,0
28,1.09261996e-06,2.000000,0.050000,0.01621863,0.01693998,0.99993086,0.99993715,0.99986802,0.99993400,159090,11,10,316025,val_f1,0.99993400,1
29,2.73905232e-07,2.000000,0.050000,0.01614390,0.01585277,0.99996228,0.99983030,0.99979259,0.99989628,159073,6,27,316030,val_f1,0.99993400,0
30,0.00000000e+00,2.000000,0.050000,0.01609775,0.01586852,0.99992456,0.99978001,0.99970461,0.99985228,159065,12,35,316024,val_f1,0.99993400,0
